"lp","cond","age","gender","jc1","jc2","jc3","jc4","jc5","rc1","rc2","rc3","rc4","rc5","gc1","gc2","gc3","gc4","gc5","cm1","cm2","cm3","cm4","cm5","jc_mean","rc_mean","gc_mean","cm_mean"
73,"powerlessness",27,"m",1,1,1,1,1,5,5,4,5,5,4,5,3,2,4,5,3,5,5,4,1,4.8,3.6,4.4
74,"meaninglessness",42,"m",5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,2,3,4,5,5,4.6,5,3.8
75,"powerlessness",42,"k",3,3,2,2,3,4,5,4,5,5,3,3,3,2,3,2,2,5,2,2,2.6,4.6,2.8,2.6
76,"baseline",43,"m",4,5,4,2,5,3,5,4,2,4,4,4,4,2,4,5,2,5,4,4,4,3.6,3.6,4
77,"baseline",43,"m",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
78,"powerlessness",23,"m",5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
79,"meaninglessness",32,"m",3,3,4,3,4,4,5,4,3,4,5,5,4,4,5,5,3,5,3,3,3.4,4,4.6,3.8
80,"powerlessness",27,"m",3,5,4,4,5,2,4,3,4,2,4,3,3,2,3,5,2,4,4,5,4.2,3,3,4
81,"powerlessness",26,"m",5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,4.8,4.6,5
82,"meaninglessness",44,"m",3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3.2,3.2,3,4
83,"baseline",32,"m",3,2,4,2,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2.8,4.6,4,4
84,"baseline",44,"m",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
85,"baseline",35,"m",2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2.6,2,2.8
86,"baseline",33,"k",3,1,1,1,1,4,3,4,4,3,4,2,1,1,4,3,1,4,2,2,1.4,3.6,2.4,2.4
87,"baseline",41,"m",2,2,3,2,2,5,5,5,5,5,4,3,3,3,4,5,4,5,4,5,2.2,5,3.4,4.6
88,"meaninglessness",31,"m",1,2,3,2,1,3,2,1,2,3,2,3,2,1,2,1,2,3,2,1,1.8,2.2,2,1.8
89,"meaninglessness",38,"m",2,3,3,2,3,5,4,5,4,3,4,3,2,1,5,3,2,3,3,4,2.6,4.2,3,3
90,"baseline",41,"k",4,4,3,3,4,5,5,5,5,5,4,3,3,3,3,5,5,5,5,5,3.6,5,3.2,5
91,"baseline",36,"k",3,3,3,3,3,4,3,3,3,4,4,3,3,3,4,3,3,4,3,3,3,3.4,3.4,3.2
92,"powerlessness",24,"m",3,3,3,3,3,3,4,5,3,3,4,3,3,3,4,5,3,4,3,3,3,3.6,3.4,3.6
93,"meaninglessness",22,"k",2,2,2,2,2,4,4,4,4,4,3,3,3,3,4,4,2,3,3,3,2,4,3.2,3
94,"baseline",36,"m",2,2,3,3,3,3,4,4,4,3,3,4,3,2,3,2,2,4,3,3,2.6,3.6,3,2.8
95,"powerlessness",20,"m",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3.2
96,"baseline",24,"m",4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3.6,1,1,5
97,"meaninglessness",33,"m",3,3,3,3,3,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,3,5,4,4.4
98,"meaninglessness",43,"m",3,3,3,3,3,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,3,4,2.8,4
99,"meaninglessness",28,"m",2,2,4,2,2,5,5,5,5,5,4,4,4,2,4,5,4,5,2,2,2.4,5,3.6,3.6
100,"baseline",24,"k",4,4,5,2,4,4,4,4,3,4,5,4,5,5,5,2,3,4,4,3,3.8,3.8,4.8,3.2
