"jc_mean","lack_control","woj","weights"
4,2,"kujawsko-pomorskie",0.894840227996239
5,7,"kujawsko-pomorskie",0.77697262073247
4,2,"kujawsko-pomorskie",1.33511933935731
4,2,"kujawsko-pomorskie",0.932830356905546
3.83333333333333,3,"zachodniopomorskie",1.06484468860991
4.33333333333333,5,"zachodniopomorskie",1.02151928608992
5,7,"zachodniopomorskie",0.99428314188909
3.5,4,"zachodniopomorskie",1.34202888936399
2.16666666666667,4,"zachodniopomorskie",0.751282206765822
4,6,"zachodniopomorskie",0.742529724934576
2.8,5,"zachodniopomorskie",1.00290909520146
3,4,"zachodniopomorskie",0.993503363431437
3,4,"zachodniopomorskie",0.928846910543472
4.83333333333333,3,"lubelskie",1.37557049316639
4.5,6,"lubelskie",0.944584972574324
3.4,6,"lubelskie",0.572585488380559
3.33333333333333,1,"lubelskie",0.881516694117394
3.8,2,"lubelskie",0.847774985582415
4.33333333333333,4,"lubelskie",1.02586245993498
2.66666666666667,2,"lubelskie",0.812886439859884
1.5,3,"lubelskie",0.972459659153781
2.33333333333333,6,"lubelskie",1.04700820363076
3.5,4,"lubelskie",0.847774985582415
3.5,3,"lubelskie",0.881516694117394
3,2,"lubelskie",1.02586245993498
999,5,"lubelskie",1.05891669297404
5,4,"lubelskie",1.64128628443311
5,3,"lubelskie",0.72511871858829
4.8,5,"lubelskie",0.691655445124062
5,4,"lubelskie",1.13243304261858
5,5,"lubelskie",1.04700820363076
999,5,"lubelskie",0.972459659153781
4.25,6,"lubelskie",0.812886439859884
999,3,"lubelskie",1.02586245993498
5,4,"lubelskie",1.09766248814769
3,6,"lubelskie",0.891746586883252
3.16666666666667,4,"lubelskie",0.855664663976311
3,6,"lubelskie",0.832885169822777
3.16666666666667,4,"lubelskie",0.858974696531108
5,3,"lubelskie",0.979147366494736
999,7,"lubelskie",0.891746586883252
5,999,"lubelskie",0.855664663976311
5,7,"lubelskie",0.933696845983291
4,6,"lubelskie",0.858974696531108
4,3,"lubelskie",1.81942128585543
4,3,"lubelskie",0.948879312321329
3.66666666666667,2,"lubelskie",0.869579389275248
3.5,3,"lubelskie",1.28079681648915
4,4,"lubelskie",0.88643121923372
4,6,"lubelskie",1.06289657213656
4.33333333333333,2,"lubelskie",0.853771610204044
5,5,"lubelskie",0.741281998441538
4.5,3,"lubelskie",0.632111925113624
3.83333333333333,3,"lubelskie",1.05598447863832
3.8,5,"łódzkie",0.798904821636271
